headlines,body
पठाओले भन्यो : अफलाइन राइडरदेखि होसियार,सार्वजनिक यातायात बन्द भएका बेला विभिन्न राइड सेयरिङले भाडा वृद्धि गरेको गुनासो आइरहेका बेला पठाओ नेपालले मोबाइल एपमा नियमित शुल्कबाहेक कुनै पनि भाडा वृद्धि नभएको जनाएको छ । 
४५ दिने शिशु च्यापेर अस्पतालको गेटमा गाडी पर्खिरहेकी पूजा,"काठमाडौंको सहिद गंगालाल राष्ट्रिय हृदय केन्द्रको गेट । हातमा ठूलो जेब्रा झोला र कालो फोमको म्याट लिएर एक पुरुष ओहोरदोहोर गरिरहेका छन् । गेट नजिकै छिन्, एक महिला । जसको काखमा छ सानो शिशु । "
सर्वोच्चका अधिकृत विष्टलाई थुनामा पठाउन माग गर्दै उच्चमा चौधरीको रिट,आफूलाई षड्यन्त्रपूर्वक थुनामा पुर्‍याएको भन्दै नागरिक उन्मुक्ति पार्टीका संरक्षक रेशम चौधरीले सर्वोच्च अदालतका शाखा अधिकृत महिमानसिंह विष्टविरुद्ध उच्च अदालत पाटनमा सोमबार रिट दायर गरेका छन् । 
माओवादीको निष्कर्ष : भिजिट भिसा प्रकरणको छानबिनअघि गृहमन्त्री लेखकले राजीनामा गर्नुपर्छ,प्रमुख प्रतिपक्षी माओवादीको संसदीय दलको बैठकले भिजिट भिसा प्रकरणको निष्पक्ष छानबिन हुन दिनका लागि गृहमन्त्रीबाट रमेश लेखकले राजीनामा गर्नुपर्ने निष्कर्ष निकालेको छ । गृहमन्त्रीको राजीनामा माग्दै संसद्को बैठकमा माओवादीसहितका विपक्षीले अवरोध गर्दै आएका छन् ।  
सरकार र यातायात व्यवसायीबीच वार्ता सुरु,सरकार र यातायात व्यवसायीबीच वार्ता सुरु भएको छ । भौतिक पूर्वाधार तथा यातायात मन्त्रालयका सहसचिव कृष्णराज पन्थको नेतृत्वमा गठन भएको वार्ता टोली र यातायात व्यवसायीबीच वार्ता सुरु भएको गृहमन्त्रालयका सूचना अधिकारी रवीन्द्र आचार्यले जानकारी दिए । 
प्रमुख दलका शीर्ष नेता सिंहदरबारमा छलफलमा जुटे,संसद्‍मा विपक्षी दलको अवरोधलगायतका विषयमा  सिंहदरबारमा प्रमुख तीन दलका शीर्ष नेता छलफलमा जुटेका छन् । प्रधानमन्त्री केपी शर्मा ओलीको आह्वानमा प्रमुख दलका शीर्ष नेताहरूको छलफल जारी रहेको छ । 
विपक्षी कराउनुहोला तर संसद् अघि बढाउनुपर्छ : प्रधानमन्त्री,प्रधानमन्त्री केपी शर्मा ओलीले विपक्षी दलहरूले अवरोध गरे पनि प्रतिनिधिसभाको कामकारबाही अगाडि बढ्ने बताएका छन् । विपक्षी दलहरूले संसद्मा अवरोध गरेर ज्यादती गरेको पनि प्रधानमन्त्री ओलीको आरोप छ । 
माओवादी संसदीय दलको बैठक जारी ,प्रमुख प्रतिपक्षी दल माओवादीको संसदीय दलको बैठक बसिरहेको छ । संघीय संसद् सचिवालय सिंहदरबारस्थित संसदीय दलको कार्यालयमा बसिरहेको बैठकमा संसद्को अवरोधबारे कुराकानी भइरहेको छ ।  
के हो एमालेको ‘म झोले’ अभियान ?,"‘पार्टी वा नेताको झोले कार्यकर्ता’ भन्ने शब्द निकै बदनाम थियो, २०४६ सालपछि । अरु काम छाडेर नेताको पछि मात्र हिँड्ने कार्यकर्तालाई ‘झोले’ कार्यकर्ताका रूपमा चित्रण गरिन्थ्यो । त्यसपछि ‘झोले’ भन्ने शब्द केही समय ओझेलमा पर्‍यो । तर पछिल्लो समय यो शब्द फेरि प्रयोग हुन थालेको छ ।  "
"पोखरामा पर्यटक बसमा समेत अवरोध, देशभर यस्तो छ बन्दको प्रभाव","नेपाल यातायात व्यवसायी राष्ट्रिय महासंघले देशभर चल्ने छोटा, मध्यम र लामा दुरीका सवारीसाधन ठप्प पारेपछि त्यसको प्रभाव देशैभर देखिएको छ । विराटनगर, जनकपुर, भरतपुर, पोखरा, भैरहवा, धनगढीस्थित कान्तिपुर संवाददाताका अनुसार यातायात बन्दका कारण हजारौं यात्रु सडकमा अलपत्र परेका छन् । "
