headlines,body
आजै सहमति जुटाउने भन्दै यातायात व्यवसायी र सरकारबीच तेस्रो चरणको वार्ता जारी,भोलि हुने भनिए पनि यातायात व्यवसायी र सरकारबीच आजै तेस्रो चरणको वार्ता सुरु भएको छ । गृहमन्त्री रमेश लेखकको निर्देशनपछि आजै दुई पक्षबीच तेस्रो चरणको वार्ता सुरु भएको हो ।
दलित बस्तीको बाटो बन्द गरी मन्दिरमा पर्खाल,सिरहाको विष्णुपुर गाउँपालिका–४ स्थित थलहामा दलित बस्तीको बाटो नै छेकेर मन्दिरमा पर्खाल लगाउने काम भइरहेको पाइएको छ । गाउँमा रहेको दुर्गा मन्दिरमा छेउकै दलित बस्तीको आवागमन नै अवरुद्ध हुने गरी पर्खाल लगाउने काम भइरहेको हो ।
साइकल : स्वस्थ संसारको यात्रा ,"सन् १८१७ मा काठको फ्रेम भएको साधारण आविष्कारबाट सुरु भएको साइकल आजको आधुनिक र उच्च–प्रदर्शन क्षमतायुक्त मोडलसम्म आइपुगेको छ । जबजब विश्व सहरी भीडभाड, जलवायु परिवर्तन र बढ्दो स्वास्थ्य समस्यासँग जुझिरहेको हुन्छ, साइकल एक सवारीसाधन मात्र नभई दिगोपन, स्वास्थ्य र सिर्जनशीलताको प्रतीकका रूपमा पुनःस्थापित हुँदै छ । "
भिजिट भिसा प्रकरणको छानबिन गर्न गृहमन्त्रीले राजीनामा गर्नुपर्छ : रास्वपा,राष्ट्रिय स्वतन्त्र पार्टीले भिजिट भिसा प्रकरणलाई निष्पक्ष छानबिन हुन दिनका लागि गृहमन्त्री रमेश लेखकले राजीनामा गर्नुपर्ने निष्कर्ष निकालेको छ ।
"लन्डन, ग्लास्गो र आयरल्यान्डबाट नेपाली दर्शक डन्डीमा","नेपाल र स्कटल्यान्डबीच विश्वकप क्रिकेट लिग–२ को खेल हेर्न डन्डीमा बेलायतका विभिन्न स्थानबाट दर्शक ओइरिएका छन् । फोर्थहिलमा इंग्ल्यान्डको लन्डन, लिभरपुलसहित स्कटल्यान्डको ग्लास्गो, एडेनब्रोबाट नेपालको खेल हेर्न दर्शक डन्डी आइपुगेका हुन् । आयरल्यान्डबाट दर्शकहरू नेपालको खेल हेर्न आएका छन् ।"
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/news/2025/06/02/today-the-third-round-of-negotiations-between-the-transport-industry-and-the-government-continues-to-reach-an-agreement-52-55.html"" onclick=""gaEvent('Kantipur Top News','Clicked','आजै सहमति जुटाउने भन्दै यातायात व्यवसायी र सरकारबीच तेस्रो चरणको वार्ता जारी')"">आजै सहमति जुटाउने भन्दै यातायात व्यवसायी र सरकारबीच तेस्रो चरणको वार्ता जारी</a></h2>",भोलि हुने भनिए पनि यातायात व्यवसायी र सरकारबीच आजै तेस्रो चरणको वार्ता सुरु भएको छ । गृहमन्त्री रमेश लेखकको निर्देशनपछि आजै दुई पक्षबीच तेस्रो चरणको वार्ता सुरु भएको हो ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/pradesh-2/2025/06/02/a-wall-in-the-temple-blocking-the-way-to-the-dalit-settlement-40-48.html"" onclick=""gaEvent('Kantipur Top News','Clicked','दलित बस्तीको बाटो बन्द गरी मन्दिरमा पर्खाल')"">दलित बस्तीको बाटो बन्द गरी मन्दिरमा पर्खाल</a></h2>",सिरहाको विष्णुपुर गाउँपालिका–४ स्थित थलहामा दलित बस्तीको बाटो नै छेकेर मन्दिरमा पर्खाल लगाउने काम भइरहेको पाइएको छ । गाउँमा रहेको दुर्गा मन्दिरमा छेउकै दलित बस्तीको आवागमन नै अवरुद्ध हुने गरी पर्खाल लगाउने काम भइरहेको हो ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/opinion/2025/06/02/pedal-journey-09-28.html"" onclick=""gaEvent('Kantipur Top News','Clicked','साइकल : स्वस्थ संसारको यात्रा ')"">साइकल : स्वस्थ संसारको यात्रा </a></h2>","सन् १८१७ मा काठको फ्रेम भएको साधारण आविष्कारबाट सुरु भएको साइकल आजको आधुनिक र उच्च–प्रदर्शन क्षमतायुक्त मोडलसम्म आइपुगेको छ । जबजब विश्व सहरी भीडभाड, जलवायु परिवर्तन र बढ्दो स्वास्थ्य समस्यासँग जुझिरहेको हुन्छ, साइकल एक सवारीसाधन मात्र नभई दिगोपन, स्वास्थ्य र सिर्जनशीलताको प्रतीकका रूपमा पुनःस्थापित हुँदै छ । "
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/news/2025/06/02/the-home-minister-should-resign-to-investigate-the-visit-visa-issue-rsp-58-27.html"" onclick=""gaEvent('Kantipur Top News','Clicked','भिजिट भिसा प्रकरणको छानबिन गर्न गृहमन्त्रीले राजीनामा गर्नुपर्छ : रास्वपा')"">भिजिट भिसा प्रकरणको छानबिन गर्न गृहमन्त्रीले राजीनामा गर्नुपर्छ : रास्वपा</a></h2>",राष्ट्रिय स्वतन्त्र पार्टीले भिजिट भिसा प्रकरणलाई निष्पक्ष छानबिन हुन दिनका लागि गृहमन्त्री रमेश लेखकले राजीनामा गर्नुपर्ने निष्कर्ष निकालेको छ ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/photo_feature/2025/06/02/nepalese-visitors-from-london-glasgow-and-ireland-to-dundee-58-58.html"" onclick=""gaEvent('Kantipur Top News','Clicked','लन्डन, ग्लास्गो र आयरल्यान्डबाट नेपाली दर्शक डन्डीमा')"">लन्डन, ग्लास्गो र आयरल्यान्डबाट नेपाली दर्शक डन्डीमा</a></h2>","नेपाल र स्कटल्यान्डबीच विश्वकप क्रिकेट लिग–२ को खेल हेर्न डन्डीमा बेलायतका विभिन्न स्थानबाट दर्शक ओइरिएका छन् । फोर्थहिलमा इंग्ल्यान्डको लन्डन, लिभरपुलसहित स्कटल्यान्डको ग्लास्गो, एडेनब्रोबाट नेपालको खेल हेर्न दर्शक डन्डी आइपुगेका हुन् । आयरल्यान्डबाट दर्शकहरू नेपालको खेल हेर्न आएका छन् ।"
